year,title,company_name,language,event_type,performance_start_date,performance_end_date,venue_block_number,venue_street_name,venue_floor_number,venue_unit_number,venue_building_name,synopsis,rating_decision,consumer_advice
2018,POPEYES DAY (PAY FOR BISCUIT WITH A SMILE),LOUISIANA QSR PTE. LTD.,ENGLISH,Dance,18/04/18,18/04/18,na,na,na,na,na,"""Popeyes Day"" is a publicity event to promote the brand, Popeyes.",General,na
2018,POPEYES DAY,LOUISIANA QSR PTE. LTD.,ENGLISH,Dance,29/04/18,29/04/18,na,na,na,na,na,"""Popeyes Day"" is a publicity event to promote the brand, Popeyes.",General,na
2018,WORLD OF FANTASIES,TAY SOK HUANG,ENGLISH,Dance,1/5/2018,1/5/2018,na,JALAN BUKIT MERAH,na,na,GATEWAY THEATRE,"""World of Fantasies"" is a student recital showcase featuring bellydance performances. The event is in support of the Lupus Association of Singapore.",General,na
2018,SIDES 2018,FRONTIER DANCELAND LTD.,ENGLISH,Dance,11/5/2018,12/5/2018,na,ZUBIR SAID DRIVE,na,na,na,An indoor modern and contemporary dance recital.,General,na
2018,GARDEN•UPROOTED,"PHILHARMONIC ORCHESTRA SOCIETY, THE",ENGLISH,Dance,19/05/18,19/05/18,na,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,An indoor modern and contemporary dance recital.,General,na
2018,DANCE PERFORMANCE,JOHN MEAD DANCE COMPANY LTD.,ENGLISH,Dance,10/5/2018,12/5/2018,na,na,na,na,na,"An indoor dance performance featuring kinaesthetic and dramatic means, with a focus on animalistic movement.",General,na
2018,TALES OF THE MERLION,KAIMENG ZHAO,ENGLISH,Dance,6/4/2018,6/4/2018,na,STADIUM WALK,na,na,KALLANG THEATRE,A multi-faceted performance revolving around the theme of the Singapore identity.,General,na
2018,SUPER 24,O2 PTE. LTD.,ENGLISH,Dance,14/07/18,15/07/18,1,TAMPINES WALK,na,na,OUR TAMPINES HUB,An outdoor street and modern and contemporary dance competition.,General,na
2018,INVITATION TO INTERVENE,FOO YUN YING,ENGLISH,Dance,30/05/18,3/6/2018,na,na,na,na,na,"A multi-sensory outdoor dance performance by Dance In Situ. The performance, which is choreographed by Chiew Peishan, in collaboration with Ng Jing, will journey from People's Park Food Centre to the Chin Swee Road area.",General,na
2018,MAZU DAN 2018,SINGAPORE HOKKIEN HUAY KUAN,CHINESE,Dance,8/5/2018,8/5/2018,137,TELOK AYER STREET,1,na,na,Outdoor event with dance performance (28 lions and 1 dragon).,General,na
2018,BINARY - INTERNATIONAL ARTISTS SHOWCASE,T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,3/8/2018,4/8/2018,na,ESPLANADE DRIVE,4,na,ESPLANADE - THEATRES ON THE BAY,"this year's instalment comprises two dances:
(i)“Black Velvet” by Shamel Pitts (Israel/USA) and Mirelle Martins (Brazil/USA) and (ii) “Vestiges” by Astrid Boons (Belgium/Netherlands).",Advisory 16,Some Nudity
2018,CHINMAYAM 2018,NIMALI CREATIONS PTE. LTD.,OTHERS,Dance,21/07/18,21/07/18,na,JALAN BUKIT MERAH,na,na,GATEWAY THEATRE,"""Chinmayam 2018"" is a event comprising of song and dance performances by students and children.",General,na
2018,EARTH,T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,15/06/18,16/06/18,na,ESPLANADE DRIVE,4,na,ESPLANADE - THEATRES ON THE BAY,An indoor double-bill modern and contemporary dance recital featuring two works - one created by Kim Jae Duk and the other by Humanhood.,General,na
2018,CHINESE GOD CELEBRATION - LION DANCE,TAN BOON CHYE,CHINESE,Dance,1/5/2018,1/5/2018,142,JALAN BUKIT MERAH,na,na,na,Outdoor dance performance with 5 Lions.,General,na
2018,WANNA DANCE 2018,WANNA DANCE PTE. LTD.,ENGLISH,Dance,13/05/18,13/05/18,na,VICTORIA STREET,3,na,NATIONAL LIBRARY BUILDING,An annual indoor dance recital with 24 dance items and dancers aged 4 to 18 years old.,General,na
2018,PANCHA-FLOWERS DON'T BLOOM ALL THE TIME,MAYA DANCE THEATRE LTD.,ENGLISH,Dance,15/08/18,18/08/18,42,WATERLOO STREET,na,na,na,An indoor and outdoor dance event to highlight the issue of domestic violence against women and children.,General,na
2018,DANCE AT DUSK,T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,22/06/18,24/06/18,na,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,"An outdoor modern and contemporary dance recital featuring an excerpt from ""Organised Chaos"" choreographed by Kuik Swee Boon and kim Jae Duk in 2014 and an excerpt of ""She's Chinese and I'm Twenty-Five"" choreographed by Lee Ren Xin in 2014.",General,na
2018,PATCH! THE ORDINARY AND THE UNSPECTACULAR,THE THEATRE PRACTICE LTD.,ENGLISH,Dance,16/08/18,19/08/18,na,WATERLOO STREET,na,na,na,Indoor contemporary dance performance,General,na
2018,UNKNOWN DESTINATION,DANZA ATTITUDE,ENGLISH,Dance,9/6/2018,9/6/2018,1,ZUBIR SAID DRIVE,na,na,na,An indoor modern and contemporary dance recital performed students of Danza Attitude dance school.,General,na
2018,TOKIMEKI JUMP ONE-MAN LIVE ~REIKOMARU GRADUATION SPECIAL~,ANG WAN YEE,ENGLISH,Dance,9/6/2018,9/6/2018,5,PEREIRA ROAD,1,2,ASIAWIDE INDUSTRIAL BUILDING,Indoor performance of Japanese pop dance.,General,na
2018,M1 OPEN STAGE + DIVERCITY,T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,19/07/18,20/07/18,na,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,“M1 Open Stage + DiverCity” is part of the M1 CONTACT Contemporary Dance Festival 2018 with a total of 11 dances that will be performed over the course of two nights.,Advisory,Some Mature Content
2018,OFF STAGE,T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,17/07/18,18/07/18,90,GOODMAN ROAD,1,54,GOODMAN ARTS CENTRE,"An indoor modern and contemporary dance showcase featuring six works-in-progress by choreographers Chan Wei Chee, Thanh Chung Nguyen & Jun Boram; Amelia Chong, Neo Jialing & Aricia Ng, Hong Guofeng & Chua Chiok Woon, and Shermaine Heng.",General,na
2018,GUAN GONG,YIEN OEI,CHINESE,Dance,22/06/18,23/06/18,1,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,"""Guan Gong"" is a dance performance which depicts the story of ""Guan Yu"", also known as ""Guang Gong"", the famous general in Chinese history.",General,na
2018,RELIGIOUS EVENT - BOON YA GONG,POON SOCK LAM,CHINESE,Dance,8/7/2018,8/7/2018,318,HOUGANG AVENUE 5,na,na,na,Outdoor dance performance with 5 Lions and 1 dragon.,General,na
2018,SINGAPORE BALLET ACADEMY 60TH ANNIVERSARY DIAMOND JUBILEE PERFORMANCE,SINGAPORE BALLET ACADEMY,ENGLISH,Dance,28/07/18,28/07/18,50,KENT RIDGE CRESCENT,na,na,na,"A ballet recital that includes two contemporary works by Yuri Possokhov, Christina Chan and Aymeric Bichon.",General,na
2018,UNGENDER HOME,IMAN FAHIM HAMEED,ENGLISH,Dance,15/07/18,15/07/18,28,ALIWAL STREET,na,na,ALIWAL ARTS CENTRE,"This dance performance is interspersed with the reading of texts and is themed around the importance of removing gender stereotypes at home. For instance, men can be primary caregivers while women can be the breadwinners. The performance includes an art exhibit as well as some audience interaction.",General,na
2018,A SAMSUI LOVE STORY: A FOOD & DANCE AFFAIR,NAOMI TAN AI-TONG,ENGLISH,Dance,17/07/18,20/07/18,30,VICTORIA STREET,2,4,CHIJMES,Contemporary dance performance interwoven with a dining experience based on the theme of love between a Samsui woman and an undercover spy in Singapore's early days.,General,na
2018,PREMANADI - THE RIVER OF LOVE,TEMPLE OF FINE ARTS,ENGLISH,Dance,11/8/2018,12/8/2018,100,VICTORIA STREET,3,1,NATIONAL LIBRARY BUILDING,"An indoor dance-drama expressed through classical, semi-classical and folk Indian dance forms.",General,na
2018,RHYTHM AND WATER - VOICES ART EXHIBITION 2018,VERY SPECIAL ARTS SINGAPORE LTD,ENGLISH,Dance,14/06/18,14/06/18,na,OLD PARLIAMENT LANE,na,na,THE ARTS HOUSE AT THE OLD PARLIAMENT,An annual visual arts event showcasing the works by artists-in-training and student-artists from The Voices (Visual Art) Programme. The event will include a jazz dance performance that also revolves around the theme of the sea.,General,na
2018,VESAK DAY CELEBRATION,SINGAPORE SEOW TECK SAN PHYSICAL CULTURE SOCIETY,ENGLISH,Dance,29/05/18,29/05/18,33,BRICKLAND ROAD,na,na,na,An outdoor traditional Chinese lion and dragon dance featuring 10 lions with 1 dragon.,General,na
2018,GET THE BEAT SINGAPORE DANCE COMPETITION 2018,GET THE BEAT (ASIA) PTE. LTD.,ENGLISH,Dance,5/6/2018,11/6/2018,25,DOVER CLOSE EAST,na,na,ANGLO-CHINESE JUNIOR COLLEGE,Contemporary dance competition for participants between the age of 5 and 19.,General,na
2018,MASTERPIECE INTERNATIONAL BALLET COMPETITION,GET THE BEAT (ASIA) PTE. LTD.,ENGLISH,Dance,22/06/18,24/06/18,80,BENCOOLEN STREET,na,na,na,Ballet and contemporary dance competition involving local and international dancers.,General,na
2018,RAWGROUND: COMPETITION,RAW MOVES LTD.,ENGLISH,Dance,4/8/2018,5/8/2018,na,na,na,na,na,An indoor modern and contemporary dance recital featuring five dances.,General,na
2018,ASIAN FESTIVALS EXCHANGE (AFX),T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,31/07/18,1/8/2018,1,ESPLANADE DRIVE,4,na,ESPLANADE - THEATRES ON THE BAY,An indoor dance performance featuring five different contemporary dances.,General,na
2018,WHERE PASSION MEETS PEOPLE,DANCE CHANNEL,ENGLISH,Dance,9/6/2018,9/6/2018,1,ZUBIR SAID DRIVE,na,na,na,"An indoor dance recital feature traditional Latin dances, cotemporary jazz, hip hop and Bollywood dances.",General,na
2018,DANCERS' LOCKER 2018,FRONTIER DANCELAND LTD.,ENGLISH,Dance,27/07/18,29/07/18,90,GOODMAN ROAD,2,52,GOODMAN ARTS CENTRE,"Dancers' Locker is an annual showcase of Frontier Danceland Ltd (FDL)'s artists' creations. The 2018-edition will feature new choreography by FDL's company artists, as well as a dance performance by Compagnie Irene K.",General,na
2018,OPEN CONCEPT SINGAPORE 2018,NICHOLAS CHUNG ZHEN YANG,ENGLISH,Dance,30/06/18,30/06/18,28,ALIWAL STREET,na,na,na,An indoor dance competition.,General,na
2018,TARI 2018: ARINAH,NUR ATIQAH BINTE SURYA AKMAJA,ENGLISH,Dance,21/07/18,21/07/18,3615,JALAN BUKIT MERAH,na,na,GATEWAY THEATRE,Malay dance performance which revolves around a girl named Arinah who faces difficulty in pursuing her dreams of dancing. The performance includes some contemporary Malay songs by popular artistes such as Siti Nurhaliza.,General,na
2018,PEOPLE LIKE US,KHAIRUL SHAHRIN BIN MUHAMAD JOHRY,ENGLISH,Dance,21/07/18,21/07/18,1,OLD PARLIAMENT LANE,na,na,THE ARTS HOUSE AT THE OLD PARLIAMENT,Indoor contemporary dance performance.,General,na
2018,HEAVENLY TOUCH,ODYSSEY DANCE THEATRE LTD,ENGLISH,Dance,16/08/18,16/08/18,9,EMPRESS PLACE,na,na,VICTORIA THEATRE,An indoor modern dance recital featuring three dances.,General,na
2018,FORTE IN RESONANCE IV,ODYSSEY DANCE THEATRE LTD,ENGLISH,Dance,18/08/18,18/08/18,9,EMPRESS PLACE,na,na,VICTORIA THEATRE,An indoor modern dance recital featuring three dances.,General,na
2018,SHOWDOWN VOLUME 5,"LEE TING ZHEN, BRENT",ENGLISH,Dance,8/7/2018,8/7/2018,28,ALIWAL STREET,na,na,na,“Showdown Volume 5” is a hip-hop dance showcase competition by the Foreign Bodies Dance Club from Nanyang Polytechnic.,Advisory 16,Some Mature Content and Coarse Language
2018,BE HUMAN,ODYSSEY DANCE THEATRE LTD,ENGLISH,Dance,17/08/18,17/08/18,28,ALIWAL STREET,3,8,na,An indoor modern dance recital featuring two dances.,General,na
2018,"DO,OR",RYAN TAN,ENGLISH,Dance,31/08/18,1/9/2018,100,VICTORIA STREET,na,na,NATIONAL LIBRARY BUILDING,An indoor modern and contemporary dance recital featuring nine dances.,General,na
2018,Q&A (THE 36 QUESTIONS),THE NECESSARY STAGE LTD,ENGLISH,Dance,25/01/19,26/01/19,1,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,"""Q&A (The 36 Questions)” is an indoor contemporary dance performance by dancers from Israel, inspired by psychologist Arthur Aron’s research - “The Experimental Generation of Interpersonal Closeness”.",Advisory,Some Mature Content
2018,24TH NGEE ANN CITY NATIONAL LION DANCE CHAMPIONSHIPS 2018,NGEE ANN PROPERTY MANAGEMENT PTE. LTD.,ENGLISH,Dance,3/9/2018,9/9/2018,391A,ORCHARD ROAD,1,na,NGEE ANN CITY,An outdoor annual lion dance competition.,General,na
2018,F(LOW)T: FEAR,"CHAN KAI BIN, GERALD",ENGLISH,Dance,10/8/2018,10/8/2018,50,KENT RIDGE CRESCENT,na,na,na,“F(low)t: Fear” is a dance event that aims to “continuously provoke thoughts in (the) audience about common issues we all face” and to “build alternative platforms for street style dancers to express their art about values and issues”.,Advisory,Some Mature Content
2018,KEW ONG YAH RELIGIOUS CEREMONY,LEONG NAM TEMPLE,CHINESE,Dance,7/10/2018,20/10/18,70,SENGKANG WEST AVENUE,na,na,na,Outdoor dance performance with 9 Lions and 3 dragons.,General,na
2018,"ELEVATE'S DANCE CONCERT 2018 - ""FIRST STEPS""",ELEVATE DANCE ACADEMIE PTE. LTD.,ENGLISH,Dance,1/9/2018,1/9/2018,50,KENT RIDGE CRESCENT,na,na,na,"Indoor dance performance including ballet, contemporary and hip hop dance segments.",General,na
2018,GARDEN LUMIERE,THE ARTS FISSION COMPANY LTD,ENGLISH,Dance,8/9/2018,8/9/2018,126,CAIRNHILL ROAD,na,na,CAIRNHILL ART CENTRE,A modern and contemporary dance performance.,General,na
2018,FLUX DANCE COMPETITION 2018,THE FLUX COLLECTIVE LLP,ENGLISH,Dance,22/09/18,22/09/18,na,DUNEARN ROAD,na,na,SINGAPORE CHINESE GIRLS' SCHOOL,Dance competition for youths with solo and team categories.,General,na
2018,CLOSE COMPANY,RAW MOVES LTD.,ENGLISH,Dance,18/10/18,20/10/18,na,na,na,na,na,Indoor contemporary dance performance featuring three short vignettes.,General,na
2018,BREAKDANCE ROCKS!,FOCUZ DANCE AND FITNESS,ENGLISH,Dance,23/09/18,23/09/18,na,na,na,na,na,An outdoor breakdance performance by dance students.,General,na
2018,PARADISE ALOFT,THE ARTS FISSION COMPANY LTD,ENGLISH,Dance,31/10/18,3/11/2018,100,VICTORIA STREET,na,na,NATIONAL LIBRARY BUILDING,"""Paradise Aloft"" is a dance performance that explores the issue of climate change and the resulting environmental threats.",General,na
2018,"""RAIN OR SHINE?"" , FINALE OF 8TH DANZINC 2018",ODYSSEY DANCE THEATRE LTD,ENGLISH,Dance,10/11/2018,10/11/2018,50,KENT RIDGE CRESCENT,na,na,na,An indoor contemporary dance performance that explores the notion of overcoming challenges in life.,General,na
2018,ALL-BABES-CATHY-DANCE COMPETITION,MEDIACORP PTE. LTD.,ENGLISH,Dance,22/09/18,22/09/18,8,GRANGE ROAD,1,na,CATHAY CINELEISURE  ORCHARD,Semi-final dance competition involving all-female solo and group performers dancing to various music genres.,General,na
2018,10TH ANNIVERSARY DANCE RECITAL PRESENTS A DECADE OF DANZ,DANZ PEOPLE,ENGLISH,Dance,17/11/18,17/11/18,3615,JALAN BUKIT MERAH,na,na,GATEWAY THEATRE,An indoor hiphop dance performance comprising 5 acts.,General,na
2018,DANCE ARTS 25TH RECITAL,KUN WAI KIT,ENGLISH,Dance,3/12/2018,3/12/2018,50,KENT RIDGE CRESCENT,na,na,na,"Indoor dance recital featuring adult and children's ballet, tap, jazz and hip hop dance performances.",General,na
2018,STAY GOLD,MENON ANDREA LOUISA,ENGLISH,Dance,26/10/18,27/10/18,1,ESPLANADE DRIVE,1,na,ESPLANADE - THEATRES ON THE BAY,"An indoor hip-hop dance event featuring nine dances produced and directed by local youth dance group, Forze Crew",General,na
2018,SOUTHERNMOST: 1 TABLE 2 CHAIRS PROJECT 2018 (JOURNEY TO NOWHERE),EMERGENCY STAIRS LTD.,OTHERS,Dance,10/11/2018,11/11/2018,42,WATERLOO STREET,na,na,na,An indoor devised work that draws on the body and the training of seven traditional dance performers.,General,na
2018,*SCAPE DANCE CONFESSIONS,"*SCAPE CO., LTD.",OTHERS,Dance,10/11/2018,10/11/2018,2,ORCHARD LINK,na,na,SCAPE,"Dance performance by The EV Elites from local dance company, EV Dance, which features a variety of street dance styles.",General,na
2018,SOUTHERNMOST: 1 TABLE 2 CHAIRS PROJECT 2018 (OPEN REHEARSALS),EMERGENCY STAIRS LTD.,ENGLISH,Dance,4/11/2018,7/11/2018,42,WATERLOO STREET,na,na,na,"A ticketed open rehearsal of the production titled, ""Journey to Nowhere"".",General,na
2018,SOUTHERNMOST: 1 TABLE 2 CHAIRS PROJECT 2018 (MASTERCLASS PUBLIC PRESENTATION),EMERGENCY STAIRS LTD.,ENGLISH,Dance,9/11/2018,9/11/2018,42,WATERLOO STREET,na,na,na,An indoor dance recital by masterclass participants showcasing two traditional dance forms with a contemporary approach.,General,na
2018,POPEYES (BISCUIT GIVEAWAY EVENT),LOUISIANA QSR PTE. LTD.,ENGLISH,Dance,17/10/18,17/10/18,na,na,na,na,na,Dance performance as part of promotional activities for Popeyes Chicken.,General,na
2018,POPEYES RALLY,LOUISIANA QSR PTE. LTD.,ENGLISH,Dance,27/10/18,27/10/18,na,na,na,na,na,Dance performance as part of promotional activities for Popeyes Chicken.,General,na
2018,LITHE 2018 BY T.H.E SECOND COMPANY,T.H.E DANCE COMPANY LTD.,ENGLISH,Dance,15/11/18,17/11/18,1,ZUBIR SAID DRIVE,na,na,na,"Annual dance showcase by the youth wing of T.H.E Dance Company. Features the works of 3 local contemporary dancers - Anthea Seah, Goh Shou Yi and Marcus Foo.",General,na
2018,SIM DANCE ART ALLTITUDE VI,SINGAPORE INSTITUTE OF MANAGEMENT PTE. LTD.,ENGLISH,Dance,24/11/18,24/11/18,461,CLEMENTI ROAD,na,na,na,An indoor modern and contemporary dance performance featuring seven dances.,General,na
2018,MILIEU 2018,FRONTIER DANCELAND LTD.,ENGLISH,Dance,9/11/2018,10/11/2018,1,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,"""Milieu 2018"" is Frontier Danceland’s annual end-of-year double-bill production.",General,na
2018,RASIKA: A JOURNEY THROUGH DANCE,JEYANTHI KESAVAN,ENGLISH,Dance,16/11/18,16/11/18,3615,JALAN BUKIT MERAH,na,na,GATEWAY THEATRE,Indoor showcase of a mix of traditional and contemporary Indian dance performance.,General,na
2018,ALL-BABES-CATHY-DANCE COMPETITION,MEDIACORP PTE. LTD.,ENGLISH,Dance,13/10/18,13/10/18,8,GRANGE ROAD,1,na,CATHAY CINELEISURE  ORCHARD,Dance competition finals featuring male and female solo and group performers dancing to various music genres.,General,na
2018,STEP RECITAL 2018: A PLACE WE KNOW,STEP STUDIO,ENGLISH,Dance,17/11/18,17/11/18,50,KENT RIDGE CRESCENT,na,na,na,An annual dance performance by dance students from Step Studio.,General,na
2018,SIM DREAMWERKZ PRODUCTION 2018,SINGAPORE INSTITUTE OF MANAGEMENT PTE. LTD.,ENGLISH,Dance,30/11/18,1/12/2018,461,CLEMENTI ROAD,1,na,na,Indoor contemporary dance performance by SIM students.,General,na
2018,WONKA!,O2 PTE. LTD.,ENGLISH,Dance,2/12/2018,2/12/2018,100,VICTORIA STREET,na,na,NATIONAL LIBRARY BUILDING,"""Wonka!"" is a dance performance featuring children aged between 9 and 15 years old.",General,na
2018,A GREEN DOT,RAW MOVES LTD.,ENGLISH,Dance,29/11/18,1/12/2018,na,na,na,na,na,"""A Green Dot"" is a dance performance by the young artists from A Little RAW.",General,na
